starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 11:22:59 2023	1680241979	5	33911	33915	33911
Fri Mar 31 11:22:59 2023	1680241979	4	33917	33921	33917
Fri Mar 31 11:22:59 2023	1680241979	3	33919	33922	33919
Fri Mar 31 11:23:53 2023	1680242033	0	33964	33965	33964
Fri Mar 31 11:24:21 2023	1680242061	0	33965	33966	33965
Fri Mar 31 11:23:18 2023	1680241998	0	34061	34062	34061
Fri Mar 31 11:23:15 2023	1680241995	0	34079	34079	34079
Fri Mar 31 11:23:24 2023	1680242004	0	34086	34086	34086
Fri Mar 31 11:23:50 2023	1680242030	0	34091	34091	34091
Fri Mar 31 11:23:33 2023	1680242013	0	34205	34205	34204
Fri Mar 31 11:23:16 2023	1680241996	0	34230	34230	34230
Fri Mar 31 11:24:25 2023	1680242065	0	34284	34284	34284
Fri Mar 31 11:24:56 2023	1680242096	0	34342	34342	34342
Fri Mar 31 11:23:15 2023	1680241995	0	34435	34435	34435
Fri Mar 31 11:25:08 2023	1680242108	0	34452	34452	34452
Fri Mar 31 11:23:16 2023	1680241996	1	34462	34463	34461
Fri Mar 31 11:23:18 2023	1680241998	0	34469	34469	34469
Fri Mar 31 11:22:59 2023	1680241979	3	34539	34542	34539
Fri Mar 31 11:24:07 2023	1680242047	0	34630	34630	34630
Fri Mar 31 11:23:33 2023	1680242013	0	34856	34856	34856
Fri Mar 31 11:25:30 2023	1680242130	0	34861	34862	34861
Fri Mar 31 11:23:18 2023	1680241998	0	35009	35009	35008
Fri Mar 31 11:25:30 2023	1680242130	0	35015	35015	35015
Fri Mar 31 11:25:30 2023	1680242130	0	35086	35086	35085
Fri Mar 31 11:23:11 2023	1680241991	0	35089	35089	35088
Fri Mar 31 11:23:21 2023	1680242001	0	35357	35357	35357
Fri Mar 31 11:22:59 2023	1680241979	3	35462	35465	35462
Fri Mar 31 11:23:14 2023	1680241994	0	35669	35669	35669
Fri Mar 31 11:23:19 2023	1680241999	0	35669	35670	35669
Fri Mar 31 11:23:14 2023	1680241994	0	35672	35672	35672
Fri Mar 31 11:25:28 2023	1680242128	0	35726	35726	35725
Fri Mar 31 11:23:23 2023	1680242003	0	36000	36000	35999
Fri Mar 31 11:23:30 2023	1680242010	0	36012	36013	36012
Fri Mar 31 11:23:40 2023	1680242020	0	36145	36146	36145
Fri Mar 31 11:23:40 2023	1680242020	0	36151	36151	36151
Fri Mar 31 11:24:19 2023	1680242059	0	36237	36237	36237
Fri Mar 31 11:23:24 2023	1680242004	0	36251	36251	36250
Fri Mar 31 11:22:59 2023	1680241979	4	36342	36346	36342
Fri Mar 31 11:23:40 2023	1680242020	0	36370	36370	36370
Fri Mar 31 11:23:42 2023	1680242022	0	36375	36375	36375
Fri Mar 31 11:24:16 2023	1680242056	0	36517	36517	36517
Fri Mar 31 11:23:11 2023	1680241991	0	36571	36571	36571
Fri Mar 31 11:23:36 2023	1680242016	0	36676	36676	36676
Fri Mar 31 11:23:36 2023	1680242016	0	36679	36679	36678
Fri Mar 31 11:23:42 2023	1680242022	0	36812	36812	36812
Fri Mar 31 11:23:13 2023	1680241993	0	36836	36836	36836
Fri Mar 31 11:23:13 2023	1680241993	0	36848	36848	36848
Fri Mar 31 11:23:27 2023	1680242007	0	36848	36849	36848
Fri Mar 31 11:23:24 2023	1680242004	0	36859	36859	36859
