starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 10:25:10 2023	1680238510	0	3126	3126	3126
Fri Mar 31 10:26:39 2023	1680238599	0	3133	3133	3132
Fri Mar 31 10:27:23 2023	1680238643	0	3133	3133	3133
Fri Mar 31 10:25:20 2023	1680238520	0	3136	3136	3136
Fri Mar 31 10:25:34 2023	1680238534	0	3146	3146	3146
Fri Mar 31 10:25:29 2023	1680238529	0	3173	3173	3173
Fri Mar 31 10:25:36 2023	1680238536	0	3198	3198	3198
Fri Mar 31 10:27:22 2023	1680238642	0	3203	3203	3203
Fri Mar 31 10:23:56 2023	1680238436	1	3205	3206	3205
Fri Mar 31 10:26:15 2023	1680238575	0	3208	3208	3208
Fri Mar 31 10:26:16 2023	1680238576	0	3208	3209	3208
Fri Mar 31 10:24:04 2023	1680238444	0	3210	3210	3210
Fri Mar 31 10:27:31 2023	1680238651	0	3252	3252	3252
Fri Mar 31 10:24:08 2023	1680238448	0	3267	3267	3267
Fri Mar 31 10:24:42 2023	1680238482	1	3279	3280	3278
Fri Mar 31 10:26:11 2023	1680238571	0	3287	3287	3287
Fri Mar 31 10:25:55 2023	1680238555	0	3291	3291	3291
Fri Mar 31 10:25:58 2023	1680238558	0	3304	3304	3304
Fri Mar 31 10:24:17 2023	1680238457	1	3307	3308	3307
Fri Mar 31 10:25:24 2023	1680238524	0	3314	3314	3314
Fri Mar 31 10:25:53 2023	1680238553	0	3322	3322	3321
Fri Mar 31 10:25:33 2023	1680238533	0	3334	3334	3334
Fri Mar 31 10:25:09 2023	1680238509	0	3346	3346	3345
Fri Mar 31 10:25:05 2023	1680238505	0	3360	3361	3360
Fri Mar 31 10:24:00 2023	1680238440	0	3361	3361	3361
Fri Mar 31 10:25:45 2023	1680238545	0	3380	3380	3380
Fri Mar 31 10:25:14 2023	1680238514	0	3386	3386	3386
Fri Mar 31 10:25:36 2023	1680238536	0	3402	3402	3402
Fri Mar 31 10:26:43 2023	1680238603	0	3409	3409	3408
Fri Mar 31 10:27:27 2023	1680238647	0	3416	3417	3416
Fri Mar 31 10:25:01 2023	1680238501	0	3431	3431	3431
Fri Mar 31 10:27:15 2023	1680238635	0	3431	3431	3431
Fri Mar 31 10:27:15 2023	1680238635	0	3435	3435	3435
Fri Mar 31 10:25:17 2023	1680238517	0	3463	3463	3463
Fri Mar 31 10:27:25 2023	1680238645	0	3481	3481	3481
Fri Mar 31 10:26:44 2023	1680238604	0	3515	3515	3514
Fri Mar 31 10:27:16 2023	1680238636	0	3516	3516	3516
Fri Mar 31 10:26:06 2023	1680238566	0	3523	3524	3523
Fri Mar 31 10:25:08 2023	1680238508	0	3531	3531	3531
Fri Mar 31 10:26:09 2023	1680238569	0	3578	3578	3578
Fri Mar 31 10:26:53 2023	1680238613	1	3586	3587	3585
Fri Mar 31 10:26:09 2023	1680238569	0	3589	3589	3589
Fri Mar 31 10:26:32 2023	1680238592	0	3592	3592	3592
Fri Mar 31 10:26:38 2023	1680238598	0	3596	3596	3596
Fri Mar 31 10:26:55 2023	1680238615	0	3597	3597	3597
Fri Mar 31 10:26:26 2023	1680238586	0	3598	3598	3597
Fri Mar 31 10:27:17 2023	1680238637	0	3598	3598	3598
Fri Mar 31 10:27:23 2023	1680238643	0	3618	3618	3618
Fri Mar 31 10:24:02 2023	1680238442	0	3620	3621	3620
Fri Mar 31 10:24:35 2023	1680238475	0	3631	3631	3631
Fri Mar 31 10:25:58 2023	1680238558	0	3647	3647	3647
Fri Mar 31 10:26:13 2023	1680238573	0	3653	3653	3653
Fri Mar 31 10:27:05 2023	1680238625	0	3660	3660	3660
Fri Mar 31 10:27:23 2023	1680238643	0	3662	3662	3662
Fri Mar 31 10:26:16 2023	1680238576	0	3674	3674	3674
Fri Mar 31 10:26:09 2023	1680238569	0	3692	3692	3692
Fri Mar 31 10:26:03 2023	1680238563	0	3709	3709	3709
Fri Mar 31 10:25:01 2023	1680238501	0	3710	3710	3710
Fri Mar 31 10:25:33 2023	1680238533	0	3715	3716	3715
Fri Mar 31 10:27:02 2023	1680238622	0	3716	3716	3716
Fri Mar 31 10:27:12 2023	1680238632	0	3725	3725	3725
Fri Mar 31 10:24:38 2023	1680238478	0	3731	3731	3731
Fri Mar 31 10:26:43 2023	1680238603	0	3736	3736	3735
Fri Mar 31 10:25:05 2023	1680238505	0	3739	3739	3739
Fri Mar 31 10:26:15 2023	1680238575	0	3743	3743	3743
Fri Mar 31 10:27:02 2023	1680238622	0	3755	3756	3755
Fri Mar 31 10:27:11 2023	1680238631	0	3767	3767	3767
Fri Mar 31 10:25:12 2023	1680238512	0	3775	3775	3775
Fri Mar 31 10:26:46 2023	1680238606	0	3802	3802	3802
Fri Mar 31 10:24:46 2023	1680238486	0	3829	3829	3829
Fri Mar 31 10:26:01 2023	1680238561	0	3846	3846	3846
Fri Mar 31 10:24:45 2023	1680238485	0	3848	3848	3847
Fri Mar 31 10:24:45 2023	1680238485	0	3856	3856	3856
Fri Mar 31 10:26:36 2023	1680238596	0	3868	3868	3868
Fri Mar 31 10:27:01 2023	1680238621	0	3873	3873	3873
Fri Mar 31 10:27:08 2023	1680238628	0	3894	3894	3893
Fri Mar 31 10:25:20 2023	1680238520	0	3902	3903	3902
